[14:02:15][INFO][2160][main:449] Script execution started: 2023-12-01 14:02:15
[14:02:25][INFO][2160][connect_to_device:337] ===> Connecting to DCR-SPA3-Access (10.201.16.76)
[14:02:25][INFO][2160][_log:1893] Connected (version 1.99, client Cisco-1.25)
[14:02:26][INFO][2160][_log:1893] Auth banner: b'CCCCC\r\nUNAUTHORIZED ACCESS TO THIS NETWORK DEVICE IS PROHIBITED. \r\nYou must have explicit permission to access or configure this device. \r\nAll activities performed on this device may be logged, and violations\r\nof this policy may result in disciplinary action, and may be reported to \r\nlaw enforcement. There is no right to privacy on this device.\r\n'
[14:02:26][INFO][2160][_log:1893] Authentication (password) successful!
[14:02:26][INFO][2160][connect_to_device:340] <=== Received DCR-SPA3-Access (10.201.16.76)
[14:02:26][INFO][2160][process_device_data:379] Processing data on the network device ...
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.21fb on GigabitEthernet2/28
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.224b on GigabitEthernet5/6
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.22dc on GigabitEthernet1/30
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.2372 on GigabitEthernet1/36
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.23db on GigabitEthernet2/29
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.2647 on GigabitEthernet2/12
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.2692 on GigabitEthernet2/40
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.26c9 on GigabitEthernet2/37
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.26d3 on GigabitEthernet2/43
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.2778 on GigabitEthernet1/6
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.27af on GigabitEthernet5/2
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.27c8 on GigabitEthernet2/25
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.2a16 on GigabitEthernet1/46
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.2c1e on GigabitEthernet2/9
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.2cdc on GigabitEthernet2/42
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.2d40 on GigabitEthernet2/30
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.2f43 on GigabitEthernet5/12
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.3100 on GigabitEthernet5/38
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.315f on GigabitEthernet1/24
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered bc9f.e4c7.566a on GigabitEthernet5/44
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered bc9f.e4c7.58f0 on GigabitEthernet5/47
[14:02:28][INFO][2160][process_device_data:390] ... Finished processing data on the network device.
[14:02:28][INFO][2160][disconnect_from_device:439] Disconnected from DCR-SPA3-Access (10.201.16.76)
[14:02:28][INFO][2160][connect_to_device:337] ===> Connecting to DCR-SPA6-Access (10.201.16.135)
[14:02:28][INFO][2160][_log:1893] Connected (version 1.99, client Cisco-1.25)
[14:02:28][INFO][2160][_log:1893] Auth banner: b'CCCC\r\nUNAUTHORIZED ACCESS TO THIS NETWORK DEVICE IS PROHIBITED. \r\nYou must have explicit permission to access or configure this device. \r\nAll activities performed on this device may be logged, and violations\r\nof this policy may result in disciplinary action, and may be reported to \r\nlaw enforcement. There is no right to privacy on this device.\r\n'
[14:02:28][INFO][2160][_log:1893] Authentication (password) successful!
[14:02:29][INFO][2160][connect_to_device:340] <=== Received DCR-SPA6-Access (10.201.16.135)
[14:02:29][INFO][2160][process_device_data:379] Processing data on the network device ...
[14:02:29][INFO][2160][send_command:421] Executing command: "show vlan brief"
[14:02:29][INFO][2160][extract_voip_vlans:150]   VoIP VLANs found: [389, 390]
[14:02:29][INFO][2160][extract_ap_vlans:164]   AP VLANs found: [210]
[14:02:29][INFO][2160][send_command:421] Executing command: "show mac address-table vlan 389"
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.62ad on GigabitEthernet1/30
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.63aa on GigabitEthernet1/33
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7cb2 on GigabitEthernet1/32
